나이트로드,#462468
나이트워커,#3f455b
다크나이트,#6d02b2
데몬슬레이어,#141213
데몬어벤저,#141213
듀블,#FFFFFF
라라,#8bebdb
루미너스,#79ddf3
메르세데스,#ffeab2
메카닉,#c273bc
미하일,#faefac
바이퍼,#559ffe
배틀메이지,#ff3856
보우마스터,#873650
블래스터,#484b6e
비숍,#ddc9bd
섀도어,#25281f
소울마스터,#d7a878
스트라이커,#fb6759
신궁,#689850
아델,333b5d
아란,#88563f
아크,#934358
아크메이지(불독),#82030b
아크메이지(썬콜),#5e90ed
에반,#61408b
엔젤릭버스터,#ff007f
와일드헌터,#819a3f
윈드브레이커,#a3e67c
은월,#0f0f17
일리움,#251f43
제논,#303748
제로,#fde18c
카데나,#e92153
카이저,#e6384a
카인,#2a2a27
캐논슈터,#b5382a
캡틴,#fff1ce
키네시스,#606060
팔라딘,#a39499
패스파인더,#191970
팬텀,#0889e7
플레임위자드,#f1573f
호영,#191b1f
히어로,#962415
